ID,HEADWORD,POS,ENGLISH,JAPANESE,SPANISH,INDONESIAN,EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA),EXAMPLE (ES),EXAMPLE (ID),
1,가게,NOUN,"shop, store",店,"tienda, almacén ","toko, kedai",그 가게는 열 시에 문을 연다.,The store opens at 10 A.M.,その店は十時に開く。,El almacén abre a las 10 de la mañana.,Toko itu buka jam 10 pagi,
2,가격,NOUN,price,"価格, 値段",precio,harga,맘에 들어? 가격은 어때?,Do you like it? What's the price?,気に入った? 価格はどう?,¿Te gusta? ¿Cuál es el precio?,Berapa harganya?,
3,가깝다,ADJ,"to be near, to be close",近い,cerca ,dekat,우리 집은 학교에서 가깝다.,My house is near my school.,我家は学校から近い。,Mi casa está cerca de mi escuela.,Rumah saya dekat dengan sekolah saya,
4,가끔,ADV,"sometimes, occasionally",たまに,"a veces, de vez en cuando","kadang-kadang, terkadang",나는 가끔 맥주를 마신다.,I sometimes drink beer.,私はたまにビールを飲む。,A veces bebo cerveza.,Kadang – kadang saya minum bir ,
5,가능하다,ADJ,to be possible,"可能だ, できる","ser posible, poder",memungkinkan,가능하다면 내일 오세요.,"Come tomorrow, if possible.",できれば明日来てください。,"Venga mañana, si es posible.","Jika memungkinkan, datanglah besok ",
6,가다,VERB,to go,行く,ir,pergi,아버지는 아침 일찍 서울로 가셨다.,My father went to Seoul early in the morning.,お父さんは朝早くソウルに行かれた。,Mi padre fue a Seul temprano por la mañana.,Ayah saya pergi ke Seoul pagi-pagi benar,
7,가르치다,VERB,to teach,教える,enseñar,mengajar,나는 그녀에게 운전을 가르쳤다.,I taught her how to drive.,私は彼女に運転を教えた。,Le enseñé cómo conducir.,Saya mengajari dia bagaimana cara mengemudi,
8,가방,NOUN,"bag, sack",かばん,"bolso, saco",tas,가방 속은 봤어?,Have you looked inside your bag?,かばんの中は見た？,¿Has mirado dentro de tu bolso?,Sudahkah anda lihat didalam tas anda?,
9,가볍다,ADJ,to be light,軽い,"ligero, liviano",ringan,기름은 물보다 가볍다.,Oil is lighter than water.,油は水より軽い。,El aceite es más ligero que el agua.,Minyak lebih ringan daripada air.,
10,가수,NOUN,singer,歌手,cantante,penyanyi,내가 제일 좋아하는 가수는 조용필이다.,My favorite singer is Yongpil Jo.,私が一番好きな歌手は趙容弼だ。,Mi cantante preferido es Yongpil Jo.,Penyanyi favorit saya adalah Yongpil Jo.,
11,가슴,NOUN,"chest; heart, mind","胸; 心, 感情","pecho, corazon","dada; hati, pikiran",어젯밤부터 가슴이 아파요.,My chest was hurting since last night.,昨晩から胸が痛いです。,Me duele el pecho desde el ayer por la noche.,Dada saya sedang sakit sejak tadi malam,
12,가운데,NOUN,"(in the) middle, center","なか (に), まんなか (に)","(en el) medio, centro","(di)tengah, pusat",거기 가운데 앉아라.,"Sit there, in the middle.",その真ん中に座りなさい。,"Sientate allí, en el centro.","Duduklah disana, ditengah. ",
13,가을,NOUN,"fall, autumn",秋,otoño,musim gugur,가을에는 책을 읽기 좋다.,It is good to read books in the fall.,秋には本を読みやすい。,Es bueno leer los libros en otoño.,Sangat baik membaca buku saat musim gugur.,
14,가장,ADV,"most, best","一番, 最も","más, mejor ", paling,스키를 가장 좋아해요.,I like skiing the most.,スキーが一番好きです。,Me gusta más el esquí.,Saya paling suka bermain ski.,
15,가정,NOUN,"home, family",家庭,hogar,"rumah, keluarga",요즘은 거의 모든 가정에 인터넷이 연결되어 있어요. ,Almost every home is hooked up to the internet now.,この頃はほとんどの家庭にインターネットが繋がれています。 ,Ahora casi todos los hogares estan conectados al internet.,Hampir setiap rumah memasang internet sekarang.,
16,가져오다,VERB,to bring,持って来る,traer,membawa,수건 가져왔니?,Did you bring towels?,タオル持って来たの?,¿Trajiste las toallas?,Apakah anda membawa handuk?,
17,가족,NOUN,family (member),家族,familia,(anggota) keluarga,가족 모두가 감기에 걸렸다.,The whole family has caught a cold.,家族皆が風邪をひいた。,La familia entera se ha resfriado.,Seluruh keluarga terserang flu. ,
18,가지,NOUN,"kind, sort",種類,clase,macam,그 가게는 여러 가지 물건을 팔아.,They sell various kinds of things at the shop.,その店はさまざまな品物を売っている。,Venden varias clases de cosas en la tienda.,Mereka menjual bermacam-macam barang di toko.,
